HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Brentford,Arsenal,A,2.0,5.0,4.0,3.0,1.5299303944315545,1.4195909580193755,2.6814495873699316,0.7649651972157773,-1
Brentford,Arsenal,A,2.0,5.0,4.0,3.0,1.1474951062132965,1.7347861178369652,2.3656174334140436,0.6374972812296091,-1
Valencia,Real Madrid,A,5.0,5.0,2.0,5.0,1.0200376975496592,1.2614667383898153,2.04988344988345,1.0200376975496592,-1
Valencia,Real Madrid,A,5.0,5.0,2.0,5.0,0.6375498368974266,1.261384008605235,2.207422015059161,0.8925697716563973,-1
Nice,Rennes,H,6.0,5.0,3.0,3.0,1.2751522180342127,0.9459759813586663,0.0,1.0201217744273703,1
Nice,Rennes,H,6.0,5.0,3.0,3.0,1.402521921878397,0.9459139784946236,0.31530465949820785,0.8925139502862525,1
Verona,Udinese,D,3.0,6.0,7.0,3.0,0.2549775394870309,2.364629994624619,1.4187779967747716,0.6374438487175772,0
St Etienne,Reims,H,4.0,1.0,6.0,9.0,0.5100130415881756,0.6306396703099802,0.9459595054649703,0.1275032603970439,1
Lille,Nantes,D,3.0,2.0,2.0,0.0,1.147410358565737,0.4729911314162859,0.9459822628325718,1.6573705179282867,0
Tottenham,Newcastle,A,4.0,4.0,9.0,10.0,1.6574387947269305,3.1533500537441777,2.2073450376209243,0.5099811676082863,-1
Aston Villa,Leicester,H,5.0,2.0,7.0,2.0,1.1475048888245094,0.9459430413756045,0.47297152068780224,2.295009777649019,1
Bournemouth,Everton,H,8.0,0.0,9.0,3.0,0.3824896806430589,0.3153219306886362,0.3153219306886362,0.7649793612861178,1
Crystal Palace,Chelsea,D,6.0,1.0,6.0,6.0,1.0200144822592325,2.2075042536043696,0.63071550102982,0.8925126719768284,0
Brighton,Arsenal,D,4.0,3.0,2.0,5.0,0.3825211787705452,1.1037786532951288,2.6806053008595985,0.6375352979509087,0
Brighton,Arsenal,D,4.0,3.0,2.0,5.0,0.3825369244135534,1.1038051750380518,2.680669710806697,0.6375615406892556,0
Lyon,Montpellier,H,2.0,6.0,3.0,5.0,1.5302106711069283,0.6307609668755596,0.0,0.8926228914790415,1
Man City,West Ham,H,7.0,4.0,7.0,1.0,0.8926596206746779,0.9462488809310653,0.7885407341092211,0.637614014767627,1
Crystal Palace,Chelsea,D,6.0,1.0,6.0,6.0,0.8925025329280648,2.0502551248769136,0.1577119326828395,0.637501809234332,0
Southampton,Brentford,A,1.0,11.0,2.0,2.0,0.1275056082205659,2.6811672037235943,0.47314715359828136,0.8925392575439611,-1
Aston Villa,Leicester,H,5.0,2.0,7.0,2.0,1.275200810478327,1.103641406459694,0.4729891741970117,2.0403212967653235,1
Venezia,Empoli,D,3.0,6.0,2.0,8.0,1.0201287895231894,1.1036679191268561,1.8920021470746107,1.4026770855943853,0
Fiorentina,Napoli,A,2.0,4.0,4.0,2.0,0.8926493995080306,0.7883531621790858,1.7343769567939888,0.5100853711474461,-1
Verona,Udinese,D,3.0,6.0,7.0,3.0,0.2550716249457387,1.5764621713468072,1.261169737077446,0.5101432498914774,0
Lyon,Montpellier,H,2.0,6.0,3.0,5.0,1.4030531037476488,0.3153282060454302,0.0,0.89285197511214,1
Bournemouth,Everton,H,8.0,0.0,9.0,3.0,0.38266657020907185,0.3153639778214989,0.3153639778214989,0.38266657020907185,1
Lille,Nantes,D,3.0,2.0,2.0,0.0,1.148046875,0.4730996243963512,0.7884993739939188,1.4031684027777778,0
St Etienne,Reims,H,4.0,1.0,6.0,9.0,0.6378300180831826,0.788518286685147,1.1039256013592058,0.38269801084990956,1
Venezia,Empoli,D,3.0,6.0,2.0,8.0,1.1479751229389645,1.1039520743919886,2.050196709585122,1.1479751229389645,0
Fiorentina,Napoli,A,2.0,4.0,4.0,2.0,0.5102321209053439,1.103978542691104,2.050245864997765,0.5102321209053439,-1
Man City,West Ham,H,7.0,4.0,7.0,1.0,1.020579940704317,1.1038076510547015,0.788434036467644,0.7654349555282377,1
Tottenham,Newcastle,A,4.0,4.0,9.0,10.0,1.4030506759199017,2.8384306014836,2.2076682455983554,0.1275500614472638,-1
Southampton,Brentford,A,1.0,11.0,2.0,2.0,0.0,2.6805647395228305,1.1037619515682242,0.5102211941593177,-1
Monza,Cagliari,A,2.0,4.0,1.0,3.0,0.5102790226977013,1.4186495176848875,0.630510896748839,1.0205580453954026,-1
